,device_brand,5g,internal_memory,ram,battery,price
362,0,0,32.0,3.0,4000.0,25730
363,0,0,16.0,1.0,2600.0,25296
364,0,1,128.0,8.0,4500.0,34162
365,0,1,128.0,6.0,4500.0,31744
366,0,0,64.0,4.0,7040.0,32736
367,0,1,128.0,8.0,4000.0,35154
368,0,1,128.0,6.0,7040.0,31496
369,0,0,64.0,4.0,4500.0,28458
370,0,0,128.0,6.0,4500.0,30690
371,0,0,64.0,4.0,7600.0,30876
372,0,1,256.0,12.0,3500.0,30938
373,0,0,128.0,6.0,7040.0,33666
374,0,0,32.0,2.0,5100.0,24676
375,0,0,32.0,3.0,2800.0,27590
376,0,0,16.0,2.0,4200.0,29140
377,11,0,64.0,4.0,4000.0,26722
378,11,0,64.0,4.0,4000.0,26970
379,11,0,16.0,1.0,3600.0,25110
380,11,0,32.0,2.0,3500.0,24738
381,11,0,8.0,1.0,2000.0,17484
382,11,0,16.0,1.0,4000.0,28086
383,11,0,16.0,2.0,2700.0,25854
384,11,0,64.0,4.0,3450.0,30938
385,11,0,32.0,3.0,4000.0,27404
386,11,0,32.0,2.0,4000.0,26102
387,11,0,16.0,2.0,2000.0,27342
388,4,0,128.0,6.0,9720.0,36208
389,4,0,128.0,6.0,5770.5,35278
390,4,0,32.0,3.0,8827.0,32240
391,4,0,64.0,4.0,7812.0,33170
392,4,0,16.0,2.0,5124.0,28272
393,11,0,16.0,2.0,3230.0,28086
394,11,0,16.0,2.0,3300.0,26784
395,11,0,32.0,1.0,2800.0,26660
396,11,0,32.0,1.0,2200.0,25854
397,11,0,32.0,1.0,3400.0,23312
398,11,0,4.0,0.5,1760.0,25110
399,11,0,32.0,3.0,4200.0,29698
400,11,0,64.0,4.0,3100.0,27714
401,11,1,64.0,4.0,4000.0,32054
402,11,0,32.0,3.0,4000.0,28396
403,11,0,16.0,1.0,2700.0,29946
404,11,0,32.0,2.0,2700.0,29078
405,11,0,4.0,0.5,3230.0,20088
406,11,0,8.0,1.0,3240.0,25916
407,11,0,16.0,0.5,3240.0,23808
408,11,0,4.0,1.0,3240.0,27652
409,11,0,16.0,0.5,2840.0,23002
410,11,0,4.0,1.0,3240.0,24676
411,11,0,4.0,1.0,1800.0,26660
412,11,0,4.0,1.0,1800.0,27466
413,11,0,8.0,1.0,1800.0,26970
414,11,0,4.0,1.0,3240.0,25544
415,11,0,8.0,1.0,3300.0,25544
416,11,0,64.0,4.0,4000.0,26598
417,11,0,16.0,1.0,2460.0,23436
418,11,0,16.0,1.0,4080.0,27032
419,11,0,32.0,4.0,4500.0,31372
420,11,0,16.0,4.0,3400.0,28706
421,11,0,32.0,4.0,4080.0,29202
422,11,0,32.0,4.0,2000.0,23436
423,11,0,16.0,4.0,6100.0,26846
424,11,0,32.0,4.0,4020.0,27032
425,11,0,16.0,4.0,5000.0,27466
426,11,0,32.0,4.0,2000.0,25234
427,11,0,32.0,4.0,4420.0,30938
428,11,0,32.0,4.0,2870.0,28458
429,11,0,32.0,4.0,2000.0,23436
430,11,0,32.0,4.0,2000.0,22382
431,11,0,32.0,4.0,4000.0,28210
432,11,0,32.0,4.0,2420.0,26970
433,11,0,16.0,4.0,5910.0,28644
434,11,0,16.0,4.0,4550.0,26164
435,11,0,32.0,4.0,2300.0,27776
436,11,0,32.0,4.0,2000.0,23064
437,11,0,32.0,4.0,1300.0,24118
438,11,0,16.0,4.0,1300.0,23250
439,11,0,32.0,4.0,2000.0,22568
440,11,0,16.0,4.0,2300.0,24924
441,11,0,16.0,4.0,2000.0,26908
442,11,0,16.0,4.0,2700.0,26908
443,11,0,32.0,4.0,2100.0,25730
444,11,0,16.0,4.0,3500.0,27280
445,11,0,16.0,4.0,2500.0,27838
446,11,0,16.0,4.0,1300.0,23808
447,11,0,16.0,4.0,4600.0,28892
448,11,0,16.0,4.0,3400.0,25358
449,11,0,16.0,4.0,3400.0,25172
450,11,0,32.0,4.0,3700.0,25172
451,11,0,16.0,4.0,2500.0,26598
452,11,0,16.0,4.0,1630.0,22506
453,11,0,16.0,4.0,2955.0,27280
454,11,0,32.0,4.0,2955.0,25048
455,11,0,16.0,4.0,4000.0,27466
456,11,0,16.0,4.0,2000.0,21514
457,11,0,16.0,4.0,3300.0,28706
458,11,0,16.0,4.0,1500.0,18848
459,11,0,32.0,4.0,2400.0,25172
460,11,0,16.0,4.0,7300.0,28582
461,11,0,32.0,4.0,4960.0,27962
462,11,0,16.0,4.0,2000.0,26350
463,11,0,16.0,4.0,1300.0,21576
464,11,0,16.0,4.0,2000.0,26908
465,11,0,16.0,4.0,1760.0,23250
466,11,0,32.0,4.0,2640.0,25544
467,11,0,32.0,4.0,2710.0,26598
468,11,0,16.0,4.0,3230.0,23746
469,11,0,32.0,4.0,3230.0,24738
470,11,0,32.0,4.0,4000.0,25172
471,11,0,32.0,4.0,3000.0,29264
472,11,0,16.0,4.0,3000.0,24490
473,11,0,16.0,4.0,3000.0,28086
474,11,0,16.0,4.0,3000.0,25420
475,11,0,16.0,4.0,3000.0,27404
476,11,0,16.0,4.0,4000.0,26846
477,11,0,32.0,4.0,2580.0,24862
478,11,0,32.0,4.0,2850.0,28272
479,11,0,16.0,4.0,2800.0,26536
480,11,0,32.0,4.0,4000.0,28768
481,11,0,32.0,4.0,4000.0,28830
482,11,0,32.0,4.0,2050.0,24366
483,11,0,32.0,4.0,2800.0,27342
484,11,0,16.0,4.0,2460.0,27094
485,11,0,32.0,4.0,3000.0,28148
486,11,0,16.0,4.0,2460.0,25234
487,11,0,16.0,4.0,2500.0,24738
488,11,0,16.0,4.0,2150.0,28706
489,11,0,32.0,4.0,2000.0,18662
490,11,0,32.0,4.0,3000.0,26846
491,11,0,16.0,4.0,2960.0,27218
492,11,0,16.0,4.0,2500.0,24924
493,11,0,32.0,4.0,2500.0,24738
494,11,0,32.0,4.0,3000.0,28210
495,11,0,16.0,4.0,2610.0,26970
496,11,0,32.0,4.0,2580.0,23870
497,11,0,32.0,4.0,2580.0,26412
498,11,0,32.0,4.0,2580.0,26970
499,11,0,16.0,4.0,1500.0,22754
500,11,0,32.0,4.0,2580.0,25606
501,11,0,16.0,4.0,2500.0,25544
502,11,0,16.0,4.0,3000.0,26536
503,11,0,16.0,4.0,3500.0,27714
504,11,0,16.0,4.0,2000.0,24490
505,11,0,16.0,4.0,2910.0,26412
506,11,0,32.0,4.0,2000.0,28334
507,11,0,32.0,4.0,2800.0,25606
508,11,0,16.0,4.0,3240.0,27156
509,11,0,16.0,4.0,2820.0,26288
510,11,0,16.0,4.0,2820.0,25358
511,11,0,16.0,4.0,2820.0,24614
512,11,0,32.0,4.0,4600.0,30442
513,11,0,16.0,4.0,2820.0,24552
514,11,0,16.0,4.0,2820.0,20708
515,11,0,16.0,4.0,2820.0,18724
516,11,0,512.0,0.25,2820.0,17732
517,11,0,16.0,4.0,1400.0,24304
518,11,0,16.0,4.0,1300.0,21886
519,11,0,16.0,4.0,2000.0,22196
520,11,0,256.0,0.25,1000.0,15500
521,11,0,32.0,4.0,2000.0,24180
522,11,0,32.0,4.0,2000.0,25792
523,11,0,16.0,4.0,2000.0,24304
524,11,0,16.0,4.0,1400.0,22568
525,11,0,32.0,4.0,4100.0,28458
526,11,0,32.0,4.0,4060.0,28210
527,11,0,16.0,4.0,3100.0,28086
528,11,0,16.0,4.0,1300.0,17174
529,11,0,16.0,4.0,1800.0,24304
530,11,0,16.0,4.0,1300.0,20956
531,11,0,16.0,4.0,750.0,20522
532,11,0,128.0,0.25,750.0,22320
533,11,0,16.0,0.25,850.0,9982
534,11,0,128.0,4.0,850.0,14446
535,11,0,32.0,4.0,3400.0,29388
536,11,0,16.0,4.0,3000.0,25792
537,11,0,16.0,4.0,2000.0,22072
538,11,0,16.0,4.0,2000.0,24738
539,11,0,16.0,4.0,1700.0,20212
540,11,0,16.0,4.0,1300.0,18724
541,11,0,32.0,4.0,2150.0,27342
542,11,0,32.0,4.0,2000.0,24428
543,11,0,16.0,4.0,2000.0,26164
544,11,0,16.0,4.0,1700.0,24738
545,11,0,16.0,4.0,1000.0,17546
546,11,0,16.0,4.0,2500.0,24800
547,11,0,16.0,4.0,2500.0,26226
548,11,0,16.0,4.0,1800.0,23002
549,11,0,16.0,4.0,1400.0,23002
550,11,0,16.0,4.0,1800.0,24242
551,11,0,16.0,4.0,1800.0,24366
552,11,0,16.0,4.0,1300.0,22010
553,11,0,16.0,4.0,1300.0,19902
554,11,0,16.0,4.0,2000.0,29698
555,11,0,32.0,4.0,3400.0,28210
556,11,0,16.0,4.0,2000.0,22568
557,11,0,16.0,4.0,1700.0,19530
558,11,0,512.0,0.25,1300.0,17608
559,11,0,32.0,4.0,2000.0,28954
560,11,0,16.0,0.25,1400.0,21824
561,11,0,16.0,4.0,1500.0,22320
562,11,0,16.0,4.0,2500.0,22692
563,11,0,16.0,4.0,1800.0,21948
564,11,0,16.0,4.0,1800.0,24738
565,11,0,512.0,0.25,1400.0,22506
566,11,0,16.0,4.0,1400.0,20956
567,11,0,16.0,4.0,1400.0,23250
568,11,0,16.0,4.0,1800.0,25544
569,11,0,16.0,4.0,2500.0,26226
570,11,0,16.0,4.0,2500.0,29822
571,11,0,16.0,4.0,2500.0,27032
572,11,0,32.0,4.0,4000.0,27838
573,11,0,32.0,4.0,3000.0,30566
574,11,0,64.0,4.0,3050.0,32116
575,11,0,32.0,4.0,3000.0,29884
576,11,0,16.0,4.0,2500.0,25110
577,11,0,64.0,4.0,3000.0,32116
578,11,0,64.0,4.0,3000.0,30132
579,11,0,64.0,4.0,5020.0,28582
580,11,0,32.0,4.0,3150.0,28086
581,11,0,16.0,4.0,2350.0,28644
582,11,0,16.0,4.0,2350.0,26784
583,11,0,16.0,4.0,2400.0,25234
584,11,0,16.0,4.0,3150.0,28768
585,11,0,16.0,4.0,3150.0,26474
586,11,0,16.0,4.0,2000.0,23932
587,11,0,16.0,4.0,2000.0,22692
588,11,0,16.0,4.0,4000.0,25110
589,11,0,32.0,4.0,1700.0,21824
590,11,0,32.0,4.0,3140.0,24676
591,11,0,16.0,4.0,6000.0,29264
592,11,0,16.0,4.0,4000.0,23002
593,11,0,16.0,4.0,2100.0,26660
594,11,0,32.0,4.0,1850.0,26412
595,11,0,64.0,4.0,3500.0,31310
596,11,0,16.0,4.0,1400.0,22072
597,11,0,32.0,4.0,1800.0,22692
598,11,0,16.0,4.0,1350.0,20212
599,11,0,32.0,4.0,1920.0,23560
600,11,0,32.0,4.0,2400.0,24490
601,11,0,16.0,4.0,2200.0,26784
602,11,0,16.0,4.0,2050.0,23870
603,11,0,16.0,4.0,1420.0,20274
604,11,0,32.0,4.0,2000.0,24118
605,11,0,32.0,4.0,1750.0,24614
606,11,0,16.0,4.0,1500.0,21452
607,11,0,16.0,4.0,2300.0,27404
608,11,0,16.0,4.0,2100.0,27342
609,11,0,32.0,4.0,2500.0,31000
610,11,0,16.0,4.0,2500.0,25048
611,11,0,32.0,4.0,3000.0,27094
612,11,0,32.0,4.0,8000.0,29884
613,11,0,32.0,4.0,3000.0,24056
614,11,0,32.0,4.0,4400.0,28644
615,11,0,32.0,4.0,3000.0,25978
616,11,0,32.0,4.0,4000.0,26598
617,11,0,32.0,4.0,4000.0,26784
618,11,0,16.0,4.0,1000.0,16306
619,11,0,16.0,4.0,2100.0,26846
620,11,0,16.0,4.0,1700.0,22072
621,11,0,16.0,4.0,1700.0,22630
622,11,0,16.0,4.0,3000.0,25606
623,11,0,32.0,4.0,2000.0,28396
624,11,0,16.0,4.0,1200.0,20832
625,11,0,16.0,4.0,1700.0,21762
626,11,0,16.0,4.0,1800.0,23188
627,11,0,32.0,4.0,1800.0,26908
628,11,0,16.0,4.0,1800.0,22320
629,11,0,16.0,4.0,3000.0,24986
630,11,0,16.0,4.0,1280.0,18042
631,11,0,512.0,0.25,1500.0,20522
632,11,0,16.0,4.0,2100.0,24986
633,11,0,32.0,4.0,3830.0,28954
634,11,0,16.0,4.0,3210.0,25730
